1415241	1001	156	68	0
1415241	1002	156	58	0
1415241	1003	156	79	0
1415241	1004	156	66	0
1415241	1005	156	97	0
1415241	1006	156	64	0
1415241	1007	156	80	0
1415241	1008	156	68	0
1415241	1009	156	92	0
1415241	1010	156	69	0
1415242	1001	156	96	0
1415242	1002	156	74	0
1415242	1003	156	81	0
1415242	1004	156	76	0
1415242	1005	156	88	0
1415242	1006	156	96	0
1415242	1007	156	90	0
1415242	1008	156	80	0
1415242	1009	156	52	0
1415242	1010	156	85	0
1415243	1001	156	61	0
1415243	1002	156	58	0
1415243	1003	156	87	0
1415243	1004	156	95	0
1415243	1005	156	59	0
1415243	1006	156	60	0
1415243	1007	156	99	0
1415243	1008	156	92	0
1415243	1009	156	90	0
1415243	1010	156	69	0
1415244	1001	156	74	0
1415244	1002	156	60	0
1415244	1003	156	77	0
1415244	1004	156	94	0
1415244	1005	156	78	0
1415244	1006	156	88	0
1415244	1007	156	77	0
1415244	1008	156	95	0
1415244	1009	156	87	0
1415244	1010	156	50	0
1415245	1001	157	92	0
1415245	1002	157	74	0
1415245	1003	157	67	0
1415245	1004	157	75	0
1415245	1005	157	53	0
1415245	1006	157	93	0
1415245	1007	157	61	0
1415245	1008	157	77	0
1415245	1009	157	71	0
1415245	1010	157	93	0
1415246	1001	157	71	0
1415246	1002	157	88	0
1415246	1003	157	68	0
1415246	1004	157	60	0
1415246	1005	157	96	0
1415246	1006	157	68	0
1415246	1007	157	88	0
1415246	1008	157	66	0
1415246	1009	157	70	0
1415246	1010	157	68	0
1415247	1001	157	81	0
1415247	1002	157	66	0
1415247	1003	157	65	0
1415247	1004	157	59	0
1415247	1005	157	97	0
1415247	1006	157	85	0
1415247	1007	157	67	0
1415247	1008	157	89	0
1415247	1009	157	80	0
1415247	1010	157	66	0
1415248	1001	158	54	0
1415248	1002	158	57	0
1415248	1003	158	60	0
1415248	1004	158	100	0
1415248	1005	158	57	0
1415248	1006	158	69	0
1415248	1007	158	78	0
1415248	1008	158	63	0
1415248	1009	158	99	0
1415248	1010	158	52	0
1415249	1001	158	99	0
1415249	1002	158	94	0
1415249	1003	158	93	0
1415249	1004	158	66	0
1415249	1005	158	99	0
1415249	1006	158	58	0
1415249	1007	158	95	0
1415249	1008	158	50	0
1415249	1009	158	99	0
1415249	1010	158	71	0
1415250	1001	158	65	0
1415250	1002	158	94	0
1415250	1003	158	52	0
1415250	1004	158	89	0
1415250	1005	158	52	0
1415250	1006	158	53	0
1415250	1007	158	54	0
1415250	1008	158	66	0
1415250	1009	158	79	0
1415250	1010	158	95	0
